input_text,target_text
وقت پر رقوم کبھی بھی واپس نہ کیں۔,ائی سی سی رینکنگ محمدعباس کی کریئر کی بہترین پوزیشن
چار سو روپے کا الزام لگایا تھا۔,بات ختم ہو گئی۔
اب اس کی ارڑان کو کوئی نہیں روک سکتا,تو دوسروں کے قبضے کی کیا بات کرنی
جو پچھلے بارہ سال سے دہشت گردی کی جنگ میں شہید ہوئے,اپنی اچھائیاں لوگوں سے فخریہ بیان کرتا ہوں
اس مسئلے کی طرف تھوڑی سی توجہ دے۔,جب ہم غلطی پر اصرار کرتے ہیں اور اسے دھراتے ہیں۔
تمہاری شرٹ باہر نکلی ہوئی ہے,گندھارا کی تہذیب سے لیکر ہندومت اور جین
مختلف طریقہ علاج پر لگ چکے ہیں,تاریخ کی ورق گردانی سے معلوم ہوتا ہے
اور تمام شعبہ پر گہر نظر رکھ چاہی,بات ہم کرتے ہیں۔
چھٹائی کی ترتیب,ورنہ یہ کوئی دینی ضرورت نہیں تھی۔
اب سرزمین شام میں کامیاب فوجی حکمت عملی کے بعد حزب,باتوں کا لیول کچھ اونچا ہونا چاہیے۔
کراچی ایٹ فیسٹیول میں اپ کو کیا کھانا چاہیے,جیسے ان کی طاقت لامحدود ہو گئی ہے۔
نیپرا نے بجلی کی قیمت میں اضافے کا فیصلہ موخر کردیا,کوئی فیصلہ نہیں سنایا جائے گا
قدرتی خوبصورتی سے لطف اندوز ہوتا ہوں,اجرت فی الوقت ان کی دسترس میں نہیں
اس کے بعد پھر وہی ڈھاک کے تین پات۔,سوالات بہت سے ہیں۔
طنز یا تضحیک کا شائبہ بھی نہیں ملتا,بلکہ اپوزیشن ہے۔
بے جا ادق لفظیات سے قاری پر رعب ڈالتے نظر نہیں آتے,کام کے عوض یہ صدقہ دینا پڑتا ہے۔
کیا آپ علی کو اچھا آدمی سمجھتے ہیں,ترکی میں روس کے ٹماٹروں کی بڑھتی ہو مانگ کے بعد مزید ترکی کمپنیوں نے روس کے ٹماٹروں کی درآمد کا فیصلہ کیا ہے
وہ اگر اپنے علاوہ کسی کی بہادری کا ذکر کرتے ہیں۔,یہی چاند ہے کلاں میں بھی ہے
شام کو سبق سکھانے کی باری آتی ہے,ایک ہی ہتھیار ہےعوامی تائید نواز شریف ہوں یا
مجھے نہیں پتہ۔,یہی معاملہ پوسٹ ٹرتھ کا ہے۔
ترین فلم ساز کمپنیز میں سے,باہر کے چینلز نے آئی سی یو کے اندر کے حالات بہت پہلے دکھا کر لوگوں کو عقل دلائی تھی
ان کو نوٹ بک بھی کہا جاتا ہے ۔,افغانستان میں جہاد کیا ہونا تھا۔
فصل خراب ہونے سے سبزیوں کی قلت ہوگئی,یونیورسٹیوں کے اخراجات ہائیر ایجوکیشن کمیشن کی دی گئی گرانٹ سے پورے ہوتے ہیں۔
جدہ مکہ شاہراہ پر شمیسی چیک پوسٹ میں نئے ٹریک بنائے گئے ہیں,اس سے پہلے کہ ہم
بھابھی ایشوریا کے بارے میں,امریکہ بھر سے ہزاروں افراد فلسطین کے لیے قومی مارچ کے سلسلے میں اکھٹے ہوگئے
جس کے سبب پاکستان کرکٹ تنزلی کی جانب گامزن ہے ۔,سیاسی لڑائی سٹیٹس کو کے مختلف طبقات میں ہوتی ہے۔
پولینڈ ہاکی ٹیم نے دورہ پاکستان کی دعوت قبول کرلی,یہ جگہ اسلام آباد کی حدود میں ہی ہے
بالکل پانچ ہوتے ہیں,چند دلکش چہرے بھی تھے۔
سارا چیکنگ کی نذر ہو گیا,دوسری کے ذمہ برتن دھونا اور کھانا پکانا تھا
لاہور یہاں سے تین میل کے فاصلے پر ہے,کہاں میں سیر سماوات کرنے والا تھا
سلطان گولڈن کا کالام فیسٹیول میں ریورس کار جمپ کا شاندار مظاہرہ,یہاں تو کچھ ہے۔
دھاڑ تو رہتی ہی نہیں۔,تجھے غم گسار کی ہو طلب
ہوا میں کاربن ڈائی آکسائیڈ خارج کررہے ہوتے ہیں,زمانے کا تغیر دیکھیے۔
جیسے ایک طرف دھوپ تو ایک طرف چھاؤں ہے کہیں وصل تو دوسرے لمحےفراق,اسد عمر تو کارندہ ہے۔
بات تو عام آدمی اور معاشرے کی ہے۔,میں الارم بند کر تاہوں
لوٹ کے آنے والی نہیں۔,میں آسانی سے شرمندہ نہیں ہوتا
پر ہوا جام ارغواں کی طرح,جیسے خوشبوئے زلف بہار آ گئی جیسے پیغام دیدار یار آ گیا
یہ کیسی منطق ہے,اصل خطرہ یہ ہے۔
وسیم اکرم پاکستا,تھک کر شاید گاؤں کے تمام لوگ سو چکے تھے
اسکر ایوارڈ کون کون لے اڑا,مجھے نہیں پتا وہ کون ہے
تو وہ ہنس پڑے گا۔,معنی بیان کئے جا چکے ہیں۔
اور اس پر کوئی اعتراض نہیں کیا جا سکتا کہ,کرکٹ تعلقات کی بحالی کیلئے شہریار خان راجیو شکلا کے گھرپہنچ گئے
کرغزستان,طیارہ ساز کمپنی
مجھے ملالہ کے بارے علم نہیں ہے ۔,جب تک وہ رہتے ہیں۔
آخری ماہ وسال میں پیپلزپارٹی کا تھا۔,اب تو وہ کسی رات سلامتی کا پیغام لے کر آئے ہوں۔
یہ آزمایش کے لیے جنوں اور انسانوں کو دی گئی آزادی ہے,عدالتی فیصلے بھی عوامی ردعمل سے متاثر ہوتے ہیں
اور چند دن بعد دنیاوی کاموں میں مشغول ہو جائیں,بیماریوں میں مبتلا ہوجاتے ہیں
مارچ سے شروع ہوکر,انٹرنیشنل چیمپئنز فٹبال کپروما نے بارسلونا کو شکست دیدی
اس کے معانی کیا ہیں,آج جب میں کلاس میں گیا
اور وہی کمزور ایمان۔,واردات ڈالتے بھی ہیں۔
افغانستان ایسا ملک ہے جہاں کوئی سمندر نہیں ہے,مسلم لیگ کا دستور باقاعدہ طور پر امرتسر
مسکراتی زندگی کے لیے درخت لگائیں۔,اوربڑھتی ہوئی مصیبتوں کا گھیرا ہے۔
حملے کے بعد پولیس کو طلب کر لیا گیا ہے,میامی اوپن ٹینس الیگزینڈر زاویئر اورسپین کے پبلو کارینو نے سیمی فائنل کا ٹکٹ کٹوا لیا
دنیا کے واحد نر سفید گینڈے کو مار دیا گیا,ٹیسٹ کیریئر میں ایک ٹرپل سنچری بھی
کل پاکستانی ٹیم کا کراچی اسٹیڈیم میں پریکٹس کیمپ لگے گا,وہ جواز جو پہلے ہی بہت کمزور تھا۔
کہ جو ہجرت نہ کر سکیں وہ کیا کریں,خیر کچھ ضروری سامان جلد بازی میں لیا اور نکل پڑے ۔
ماں کا وجودسارے ماحول کو اپنی لپیٹ میں لے رہا ہے۔,اسکمنگ کے شکار اکانٹ ہولڈرز کو بینک پوری ادائیگی کرے اسٹیٹ بینک
آپ یہاں کیوں تشریف لائے ہیں,ایسے ہی رہے گی۔
کچھ ایسا اہتمام ہوتا۔,آگے چھٹیاں آ رہی تھیں ۔
تیسری پوزیشن حاصل کی,کچھ پہلے ان آنکھوں آگے کیا کیا نہ نظارا گزرے تھا
کمرے میں تمام چیزیں بکھری پڑی تھیں,آپ ایسا نہیں کر سکتے کیونکہ تم ایک گھٹیا اور پزدل آدمی ہو
منیجر نے تیسرے ملازم سے پوچھا,اپنے بارے میں اعلی رائے رکھتا ہوں
ہم شیشے کی منڈی کو اندر سے دیکھنا چاہتے ہیں نہ کہ باہر سے,اسے پرے کرنا چاہیے۔
جیسے ان کی طاقت لامحدود ہو گئی ہے۔,ہم جنیوا کنونشنز کو مانتے ہیں۔
وفاقی وزیر سمندر پار پاکستانی صدر الدین راشدی کی سعودی لیبر کے وزیر سے اہم ملاقات,میں نے مشورہ دیا
کاروباری لوگ بھی بڑے چالاک ہوتے ہیں۔,امریکانے درامد شدہ واشنگ مشینوںسولر پینلوں پر ٹیکس اورڈیوٹیاں بڑھادیں
تو اپنی خواہشوں کی غلامی میں اپنی بربادی کا سامان خود پیدا کرتا ہے ۔,پھر فکر کس بات کی۔
جو کہنا تھا۔,اری یونیورسٹی انتظام نے بھی متب کیا تھا
امریکا کا ٹک ٹاک,وہ فورا مل گیا۔
صدر اپنے ہیں۔,فوج کے ساتھ محبت وطن سے محبت کا ناگزیر نتیجہ ہے۔
حسین حقانی کی واردات,اللہ تعالی انکو جلدی
نامعلوم رسم الخط,علامات کو نظرانداز کر کے چھٹائی کریں
تم براکیوں مناتے ہو,بہت کارآمد ہیں
ہر سال لاکھوں بچے کم آمدن کی وجہ سے سکول جانے سے محروم ہو جاتے ہیں,ان کے اظہار رائے پر پابندی عائدکرتی تو ہم اسے صدی کا بدترین فیصلہ قرار دیتے
کس حرف پہ تو نے گوشۂ لب اے جان جہاں غماز کیا,وفاقی محفوظہ بورڈ کے صنعتی پیداواری انڈیکس نے ایسا ہی کیا
ان میں نہیں ہیں۔,ان سے وہ آشنا نہ تھے۔
میرا قصور کیا ہے,جب ہم زیاں کا اندازہ کرتے ہیں۔
خیالی پلاو بنانا پسند کرتا ہوں,اور رسول بھی گزر چکے پھر کیا اگر وہ مر جائیں یا قتل
بچوں کے انٹرنیٹ کے استعمال کا جائزہ لیا گیا,مبشر صدیق صاحب آپ کو دعائیں ہیں آپ کے والد محترم کی
میں نے یہ کام عادت سے مجبور ہوکرکی,جس کے سبب لکھنے کو من نہ کیا کیونکہ پاکستان کی شکست تو صاف دکھائی دے رہی تھی ۔
جس کے ذریعے اطلاع دی گئی ہے,روپے کی قدر میں کمی ائی ایم ایف کے دبائو پر ہوئی مشن سربراہ کا اعتراف
آرمینیا کا وقت,آپ نے حق ادا کر دیا
جس سے کدورت میں اور بھی اضافہ ہوتا ہے,یورپی ہسپانوی
مگر پرامید نہیں,کیا خوب اسے بھی نیشنل جیو گرافی والوں کو فروخت کریں گے
ہم اپنے پہ توجہ دیں۔,مشرق و مغرب تو اللہ ہی کے لئے ہے۔
ونڈو فون میں کافی عرصے سے مختلف ملکوں کی قومی زبان آپشن ہے,اس طرح وہ فتوی یا قانون بے توقیر ہوتا ہے
جب پانچ روزہ کرکٹ میں,وکلاء تحریک بھی ایک دلچسپ کہانی ہے۔
اس نے اچانک اپنے بھائی کو ہجوم میں دیکھ لیا,میں ایک اردو چیٹ بوٹ ہوں۔
نج سندھی زبان میں خالص کوکہتے ہیں۔,جلدی کیجئے مجھے دعر ہو رہی ہے
بڑے بحران بڑے دل اور بڑے دماغ کا تقاضا کرتے ہیں۔,اسی سے موروثی سیاست کا دروازہ بھی بند ہو سکتا ہے۔
اور جیسا کہ حالات عندیہ دیتے ہیں۔,وہ مفتوحین کی دل جوئی کرتے تھے۔
حدیبیہ ملز کا کیس ختم نہ کیا جاتا۔,سلام ہے پاکستانی ڈاکٹرز کو
ایشیاء سرخ ہے۔,جب نئے خیال کا گزر نہیں ہو گا۔
نواز شریف کیخلاف عدالتی فیصلہ اقتصادی ترقی کیلئے خطرناک عالمی جریدوں کا تبصرہ,بیماری کیا ہے
جنوبی افریقہ کے خلاف سیریز میں بھی جگہ حاصل کرلیں گے,میںیہ امور گویا حکومت اورعدلیہ
انکے پیچھے سیاسی و سرکاری ہاتھ ہوتے ہیں,نظام میں تبدیلی آئے۔
مرغی اور انڈے کی,ہاکی چیمپئنز ٹرافی بیلجیئم نے پاکستان کودو کے مقابلے میں چار گول سے شکست دے دی
پنجاب میں صنعتوں اور سی این جی سیکٹرز کو گیس کی فراہمی معطل,لندن فلیٹس کی ملکیت ثابت شدہ ہے۔
تعلیمی وظائف کے لیے مختص رقم کا اجراء کر دیا گیا,پانچ کروڑ روپے سے
اس طرح کے پروگرام ختم کیوں نہیں کیے جاتے ہیں,غیر متعلق افراد کے ہاتھوں میں آجاتے ہیں
کافی مماثلت لگتی ہے۔,اور بھی ہیں جو مل کر بھی پاکستانی ٹیم کو مشکلات سے نہیں نکال پاتے ۔
بوسٹنویب ڈیسک ہمارے دماغ کا ہر خلیہ ایک پورےبگ کمپیوٹر کی طرح کام کرتا ہے,دنیا بھر میں خواتین کا ڈونلڈ ٹرمپ کے خلاف مارچ
''مجھے کیوں نکالا‘‘۔,کیا فطرت نے ہمارے لیے اپنے قوانین کو بدل ڈالا ہے
یہ بیانیہ اس ملک کے اصل مسئلے کو مخاطب بناتا ہے۔,صحت مند زندگی کی جانب مریضوں کی ہمت میں اضافہ کیا جا سکے
نیپرا نے بجلی کی قیمت میں اضافے کا فیصلہ موخر کردیا,کوئی فیصلہ نہیں سنایا جائے گا
میڈیکل اور آئل فیلڈ میں ٹیکنیکل ویزا پر کوئی پابندی نہیں ہوگی,جو اچھل کود کے آج کل کے گانے ہیں۔
بہت افسوسناک حالات ہیں,یہ بہت سے اجزاء کا مجموعہ ہے۔
سوچ بھی محدود ہے۔,احمق مت بنو
پاک بھارت سیریز کا فیصلہ بورڈ زکو کرنا ہےصدر ائی سی سی,ہیتی
حکمت عملی کے تحت خاموشی بھی روا رکھی جا سکتی ہے۔,کام کی بات کرو۔
جہاں جمہوریت نافذ ہے۔,تو کرتے کیا۔
ہمیں محض اسے سمجھنے کی ضرورت ہے,لیکن انہیں سہولتوں کی فراہمی حکومت کی ترجیح نہیں
مجھے آج بہت سا کام کرنا ہے,جب حالات بدلیں گے۔
کاربن ڈائی آکسائیڈ گیس اور آبی بخارات کے علاوہ دوسری گیسیں بھی فضا میں شامل ہوکر گرمی میں اضافے کا سبب بن سکتی ہیں,آج کا انسان درندہ بن گیا ہے
سڑک کے کنارے پتھروں کا ایک جھرمٹ تھا,تو ان کے ہم قبیلہ ایک بے مثل شاعرکو یا دکرتا ہوں۔
آزادیٔ اظہار کیلئے آواز اٹھاتے رہے۔,انڈونیثیائی
کہ اس کا پروگرام ہے۔,نہ کس کو نشان حیدر ملا اور نہ ہی کس کو ستائش کا ٹیفکیٹ
کل کا اعلان منڈیوں کے بند ہونے کے بعد کیا گیا تھا,کہ اس کے علما اپنی اصل ذمہ داری کو ادا کرنے کے بجائے ان ذمہ داریوں کو ادا کرنے پر مصر ہیں
ان کے سامنے وہی سچ تھا کہ جان ہے۔,انار کے استعمال
شردہا کپور ولن بننے کی خواہش مند,اپنی سوچ سمجھ کے مطابق کر رہے ہیں۔
جب جنرل مشرف وطن واپس لوٹ رہے تھے۔,اور پھر میرے جسم کے ٹکڑے ٹکڑے کر دیے جاتے ہیں
قومی کرکٹ ٹیم کے جنوبی افریقہ کیخلاف سیریز کا شیڈول جاری,اللہ تعالی کا حسن و جمال کا کوئی اندازہ نہیں لگنا سکنا
ان کہانیوں کو دہرانے کا کیا فائدہ۔,چیئرمین ایف بی ار شبر زیدی کی کام جاری رکھنے سے معذرت
کہیں ایسا تو نہیں کہ,دانشوران کرام جمہوریت کا راگ الاپتے ہیں یا
بغیر سوچے سمجھے کام کرتا ہوں,ان پیغام میں تحریر لنک آڈیو اور ویڈیو پیغام شامل ہو ہیں
نظم اجتماعی کے خلاف عوام میں بغاوت پیدا کرتے ہیں۔,سٹروک کی چھٹنی کی ترتیب
احد چیمہ کو ہی لیجئیے۔,تمھیں نفرت ہے تو نفرت سے تم آؤ ۔۔جاؤ
کے ذریعے خود پر ہوئی تنقید,انحصار کو کم کرنے کے لیے
لیکن ایسا نہیں ہوا۔,میں نے پہلے کبھی نہیں کیا
سابقہ ادوار میں توانائی بحران سے معیشت کو بیحد نقصان ہوا شہباز شریف,قدرت کی تخلیق کردہ
منزل کو نہ پہچانے رہ عشق کا راہی,اس کی ہر بات میں سمجھتی تھی
میرا خیال ہے کہ عمران خان بھی ان میں سے ایک ہیں۔,نہ صرف آواز دلکش ہے۔
وولبر بچے کچھ بچے وولبر ہوتے ہیں۔,کہاں گئے شب فرقت کے جاگنے والے۔
اس صورت حال میں ہمارے نزدیک چند مسائل پیدا ہوتے ہیں,بجلی بل ادا نہ کرنے والے
لاہور ایسکارٹس انویسٹمنٹ بینک لمیٹڈکاافتتاح,فلاحی ریاست کی اولین ترجیح شہریوں کی فلاح و بہبود ہوتی ہے
گیانا,ٹیکس دہندگان کی مشکلات کم کرنے کا ایک اور وعدہ پورا کردیا اسحاق ڈار
تو وہ ایک ناقابل ذکر پرندہ ہے۔,پاکستانی اوپنر فخر زمان نے ڈبل سنچری داغ کر تاریخ رقم کر دی
مقامی فلم انڈسٹری کو,کامن ویلتھ گیمزپاکستانی ہاکی ٹیم اج کینیڈا سے ٹکرائے گی
بیس سال کے بعد یہی کچھ کمانا تھا,وہ اس وقت تک بینک اکائونٹ
ہم ملک کے آئین کو مانتے ہیں۔,جیسے مکھن سے چھری۔
ہم ان کو ر کیا یہ ظلم نہیں ہے ۔,وہ پیچھے کے پیچھے۔
مگر اب گوادر پر اجارہ داری اور اس پر قبضہ ہندوستان کا خواب بن کے رہ گیا۔,اسٹونین
جسے ریاست اور معاشرہ دونوں نے نظر انداز کیا ہے۔,ان کے کرنے سے ہمارا قد بڑھتا نہیں۔
جاپان کی جے ایکس ہولڈ ینگس کمپنی جس میں جاپان کی چیدہ چیدہ پٹرولیم کی صنعت کی کمپنیز شامل ہیں,آج حالت یہ ہے کہ پاکستانی حصول ملازمت کیلئے ملائشیا جاتے ہیں۔
تو مجھ سے رہا نہیں گیا۔,اپنی طرف متوجہ مبذول ہونے سے خوف محسوس کرتا ہوں
ٹام اور میری نے کہا کے وہ حسد محسوس کر رہے ہیں۔,اس کی خلاف ورزی پر کسی قسم کی سزا کا خوف نہیں ہوتا
گزشتہ سال ایک انٹرویو کے دوران,وہ تب تک ہی رہتے ہیں۔
تو اس کے حل کے لیے ہم دین کی طرف رجوع کرتے ہیں۔,کچھ بھی ہو سکتا ہے۔
بیگم صاحبہ کو بھی ساتھ لے گئے,ایک ’یش راج فلمز‘ کی نئی
سڈنی ویں کامن ویلتھ گیمز کا اغاز ہو گیا,ہیمبرگ ماسٹر ٹینس البرٹ راموس اور فلورین میئر دوسرے رانڈ میں
میں رات بھر یہاں نہیں ٹھہر سکتا,چیئرمین پیس بی کی نیوزی لینڈ کو دورہ پاکستان کی پیشکش
یا رسول اللہ کیا آپ کے ساتھ بھی یہی معا ملہ ہے,اپوزیشن کے پراپیگنڈا کی وجہ سے پیداوار کی یہ شرح دبی ہوئی تھی
موسم میں تبدیلی کا ساتھ ہی پرندہ نقل مکانی کرنا شروع کرنا ہونا,تو وہ اسے اپنے مفاد کے لیے استعمال کر سکتے تھے۔
بھارت میں ہونے والا ورلڈ کپ کبڈی ٹورنامنٹ منسوخ,کمرے میں تمام چیزیں بکھری پڑی تھیں
انھوں نے یہ سفر اپنے شوہر کے ساتھ کیا ہے,ٹکٹ اب بوجھ بن چکا ہے۔
اسکے معانی پر اور مفہوم پر کبھی غورکیا بھی نہیں,ماتحت عدالتیں کس خوف کا شکار تھیں
یاسر عرفات کی اہلیہ مسیحی ہیں۔,کوئی نئی کتاب مارکیٹ میں آتی تھی۔
اس کے برعکس اپنا فیصلہ صادر کریں تو اس سے عدالتوں کا وقار مجروح ہوتا ہے,تو اس چیلنج پہ وہ پورا نہ اتر سکے۔
مال وزر کے علاوہ ان کے پاس کیا ہے,ان سے وہ آشنا نہ تھے۔
مسٹر ہین نے جارجیا پیسیفک کی حیرانکن تبدیلی کو منظم بھی کیا,متحدہ امارات نے کوئی عندیہ دیا ہے۔
سو پیکاں تھے پیوست گلو جب چھیڑی شوق کی لے ہم نے,جو کہنا تھا۔
پولینڈ ہاکی ٹیم نے دورہ پاکستان کی دعوت قبول کرلی,پی سی بی کے چیئر
فخر زمان مین اف دی میچ بابر اعظم پلیئر اف دی سیریزقرار,کم کارڈیشین نے پیپلز چوائس ایوارڈ فائر فائیٹرز کے نام کردیا
جائز ٹھہرایا جاسکتاہے ‘,میں گاڑی سے نکلا اور پیدل چل پڑا۔
ہم نے ایسا کوئی بیان نہیں دیا,نتیجہ بھی انشاء اﷲ اچھا ہو گا۔
ہر شخص اور کوئی نہیں,آپ نے میرے بھائی کو گالی دینے کی ہمت کیسے کی
جیسا چل رہا ہے۔,صرف دو انڈے میٹھے بنائے جائیں گے
وہ بھی دھرنے والوں کے ہمنوا بن گئے۔,"کی چینلوں پر براجمان ""ماہرین"" قومی ٹیم کے پوسٹ مارٹم کا عمل بھی مکمل کر چکے ہیں ۔"
راستہ میں آنا یہ تالاب میں جیسا کہ یہ کرنا,میں ریڈیو پر خبر سن رہا تھا
سینیٹائزر صرف ہا,مثبت اقدار اسی وقت پنپ سکتی ہیں۔
ا گر افراد کی تربیت نہ کی جائے,اس دن کی تقریبات بہت کامیاب رہیں ۔
یہ کائنات اللہ تعالی کے حسن تخلیق کا شاہکار ہے۔,تو سوال اٹھایا جاتا ہے کیا احتساب نہ کیا جائے
بڑی باتیں چھوڑئیے۔,اس کے برخلاف ایڈہاک ازم سب کچھ برباد کر دیتا ہے۔
یہی چبھتی تنقید ہے۔,اک بار ہی جی بھر کے سزا کیوں نہیں دیتے
محترم جنرل حمید گل صاحب کی سیاسی فقہ میں ممکن ہے۔,ایک عرصے سے ہمارے علما کے ہاں اس دوسرے موقع استعمال کا غلبہ ہو گیا ہے
تاحال ڈبوں میں بند پڑی ہے۔,میں صرف تمہارے باپ کی وجہ سے تمہاری بکواس سن ربا
مشرق وسطی میں اضطراب ہے اور ہم اس کی زد میں ہیں۔,امریکہ فامولا الیکٹرک ریس میں جین ایرک بازی لے گئے
تو چلیے شروع کرتے ہیں۔,کیا وہ لمبا ہے
بلکہ یہ کہا جائے گا کہ ایک وقت کی تین طلاقیں واقع ہو نی چاہییں,کتنا خراب موسم ہے
تو کیا غلاظت و زحمت نہیں بنے گا ۔,مسئلہ جمہوریت نہیں کثرت کی خواہش ہے۔
صحن گلشن میں بہر مشتاقاں,تو ہے اور اک تغافل پیہم
حکومت کرتے رہے ظاہر ہے,یہ بڑی عجیب بات ہے۔
معاف کیجئے گا یہ میری سیٹ ہے,لیکن پھر وہی بات کسی کو کیا پروا
ان کے بلے بازوں کے سامنے ہو گا,تمہاری ناک بہ رہی ہے
یہ بنیادی حقیقت ہے۔,حکمرانی یوں لگتا ہے کہ رک گئی ہے۔
رکاوٹوں پر بہت جلدی عبور حاصل کر لیتا ہوں,یا فلاں کی دی گئی طلاق واقع ہو گئی ہے
کل ہو نہ ہو,تو یہاں کے عوام کے دروازے ان کے لیے بھی کھلے ہیں۔
تو اپنی خواہشوں کی غلامی میں اپنی بربادی کا سامان خود پیدا کرتا ہے ۔,پھر فکر کس بات کی۔
ایک پرچی نے مجھے دونوں,وہ محاربہ اور فساد فی الارض ہے۔
بغیر سوچے سمجھے کام کرتا ہوں,کیا دین دار لوگ ہیں۔
یہ جو ہمارے ماحولیات کے مشیر ہیں۔,میں ماہرہ کو جانتا تک نہیں میری
یہ وقت ہے۔,وہ میرے کعبۂ دل میں ذرا سی دیر رکا
اس کی بنیادیں یونان میں رکھی گئیں۔,جہاں یہ جانور اپنی خوراک کی تلاش میں آتے ہیں
پاکستان کی فوج اسلامی فوج ہے,اسے پر کون کرے گا۔
جرمنی کی کرنسی کی وقعت نہ رہی تھی۔,انھوں نے یہ سفر اپنے شوہر کے ساتھ کیا ہے
اللہ کے آخری رسول سیدنا,اصل بات ہے۔
تقریبا ایک گھنٹے کے اس سفر میں ہمیں اجنبیت کا بالکل احساس نہ ہوا ۔,ان گنت قتل کئے۔
سعودیہ کو جھینگوں کی برامد پاکستان مطلوبہ ٹیسٹ کروانے میں ناکام,اعصابی نظام کی دائمی بیماری بنیادی طور پر مرکزی اعصابی نظام کو متاثر کرتی ہے
زیادہ بولنے سے پرہیز کرو,ہوائی
بینظیر بھٹو پڑھی لکھی خاتون تھیں۔,میں اپنے پارسی بھائیوں کیساتھ اظہار یک جہتی کرتا ھوں
تصوف میں فنا فی الشیخ کو مطلوب کا درجہ حا صل ہے۔,ڈرائیور کے بغیر بس نے خودکار طریقے سے سفر طے کیا
ہمارے ساتھ کھانے میں شریک ہوں,وہاں بھی بس کھانا ہی۔
ائی ایم ایف کا عرب ممالک پر اضافی اخراجات کم کرنے پر زور,اب سنا ہے۔
ونڈوز کو اس ماہ تاریخ کو لانچ کیا جارہا ہے,تاریخ ہند کا ایک نیا دور شروع ہوا
پارک میں پھولوں کا میلہ لگا ہوا تھا۔,ملک بدنام ہوتا ہے۔
ایک ہی سکرپٹ ہے۔,نہ مری جاں
علم صبر کے ساتھ آتا ہے,چار گھنٹے تک استعمال کرسکتے ہیں
مگر ہم مسلمان اور خاص طور پر پاکستانی بہت بڑی چول قوم ہیں یا شاید عادت سے مجبور ہیں,اس جنگ میں جھونک دیا۔
غائب کئے جا چکے ہیں,اس پر پابندی ایک معکوس عمل ہے۔
کتنا خراب موسم ہے,ہمارا معاشرہ ان ہی روایتی کہانیوں کی وجہ سے چل رہا ہے
وعدے توڑ دیتا ہوں,یہی معاملہ امت مسلمہ کا بھی تھا۔
وہی سال تھے۔,چیزوں کو اپنے قابو میں کر لیتا ہوں
صرف احتجاج تک محدود رہ گئے,لیڈران ملت تھے۔
دیگر قوموں نے مریخ کی طرف جانا ہے۔,یک جعلی مقدمے میں آ ٹھ مز دور رہنماؤں کو
یہی حال ہدایت کار بلال لاشاری کی,جماعت کا حصہ بننے میں لطف اندوز ہوتا ہوں
آرمینیا,وسط افریقی جمہوریہ
تو ہمارے پاس بھی ہے۔,لوگوں کے ارد گرد بے چینی محسوس کرتا ہوں
بعض کے کالم کبھی کبھارکسی اخبار میں چھپ جاتے ہیں۔,میں سوچتارہا کہ یہ کیسی کتب ہوں۔
مینڈک کی طرح ہمیں اپنے چھوٹے کنوئیں میں,مسلمان رہ گئے تھے۔
سٹیڈیم کا جنون ملک میں وسیع طور پر اثرانداز ہو رہا ہے,وہ بھی بجھ گئیں۔
کھانے پر آپ کی دعوت کا شکریہ,جنہوں نے آگے آکریہ نیک کام نبھایا۔
ہریرو,مقبوضہ کشمیر میں
پھر ہم انہیں پرانی گاڑیوں کے طور پر دوسرے ممالک برآ,جیسے جنگلات اور باغات کے حسن کا فرق جو انسان خود ترتیب دیتا ہے
جی ابھی کیئے دیتا ہو,یعنی یہ کر دیں گے۔
لہذا اسے کم از کم فوری طور,گرفتاری کے لیے سرگرداں ہے جو کاروکاری کے
یہ ملک بلخصوص یہ علاقہ ایسے جانوروں کے لیے نہیں ہے,جنگلی حیات انسانوں کے لیئے بہت ضروری ہیں
ان کی اس بارے میں کوئی سوچ نہیں,لوگوں پر اعتبار نہیں کرتا
آج کرکٹ کا ٹورنمنٹ ہورہا ہے ۔,لاطینی امریکہ
نوازشریف صاحب کی اصل طاقت یہی ہے۔,سو اللہ اللہ کر کے آملیٹ تیار ہوئے
جماعت رہے گی۔,فرانس میں رگبی کے منفرد اندا کے ٹورنامنٹ کا انعقاد
یہ مسئلہ بھی سپریم کورٹ نے کھنگالا۔,کراچی پاک ویسٹ انڈیز سیریز کیلئے فول پروف سیکورٹی پلان تیار
ان میں وہ نہ تھی۔,سامنے پہاڑوں کی مٹی سورج کی روشنی سے چمک رہی تھی
کچھ عرصہ سے کورونا کی دوسری لہر سر اٹھا رہی ہے,گرمی ذوق شرارت سے تم آؤ جاؤ
اس باب میں تقابل بھی ضروری ہے کہ گزشتہ پانچ سالوں میں,جسے کہا جائے کہ طبیعی موت
اسی طرح سماجی حوالے سے وہ ایک پدر سرانہ سماج تھا۔,سب کو ایک ہی برتن میں انڈیل کر پھینٹنا شروع کردی
تو پھر نوازشریف صاحب کا بیانیہ ہی واحد راستہ ہے۔,ماری
اسٹاک بڑھنے کی وجہ سے ریفائنریز بند ہونے کا خدشہ,شامیں اسلام آباد میں گزارنا پڑتی ہیں۔
نیپرا نے پیسکو اور سی پی پی اے پر بھاری جرمانے عائد کردیے,داسو پاور پراجیکٹ کی تعمیر رواں ہفتے شروع ہوجائے گی چیئرمین واپڈا
کاروباری لوگ بھی بڑے چالاک ہوتے ہیں۔,صبح فردا کو پھر دل ترسنے لگا عمر رفتہ ترا اعتبار آ گیا
